════════════════════════════════════════════════════════════════════
  NÚCLEO 80/20 DO ESPANHOL PARA BRASILEIRO — meta: B2
  A lista das palavras que REALMENTE aparecem. Se você fechar isto,
  entende a grande maioria do espanhol falado e escrito do dia a dia.
════════════════════════════════════════════════════════════════════

COMO FOI FEITA
  • Selecionada por FREQUÊNCIA real (as palavras que mais aparecem em
    corpora do espanhol), não por tema.
  • Cada palavra tem uma ETIQUETA de relação com o português. Isso te
    deixa GASTAR ENERGIA só onde é difícil, e apenas CONFIRMAR o resto.
  • Excluídos (você já sabe): números, dias, meses, cores.

LEGENDA — onde gastar seu tempo
  🟢 = IGUAL/quase igual ao PT → só CONFIRME, não decore
  🟡 = PARECIDA → cuidado com grafia/acento, olhada rápida
  🔵 = DIFERENTE → PRIORIDADE, tem que decorar
  🔴 = FALSO AMIGO → parece PT mas ENGANA → PRIORIDADE MÁXIMA

  >>> Seu esforço real está nos 🔵 e 🔴. Os 🟢/🟡 são "de graça".


────────────────────────────────────────────────────────────────────
1) PRONOMES, DETERMINANTES E PERGUNTAS  (a estrutura da frase)
────────────────────────────────────────────────────────────────────
🟢  yo — eu
🟡  tú — você (informal)
🔵  usted — o senhor / você (formal)
🟢  él — ele
🟢  ella — ela
🟡  nosotros — nós
🔵  vosotros — vocês (Espanha, informal)
🔵  ustedes — vocês
🟢  ellos / ellas — eles / elas
🟢  me / te / nos — me / te / nos
🔵  se — se
🔵  os — vos (a vocês, Espanha)
🔵  le / les — lhe / lhes
🟡  lo / la / los / las — o / a / os / as (objeto)
🟢  mi(s) — meu(s)
🟢  tu(s) — teu(s) / seu(s)
🔵  su(s) — seu / dele / dela / de vocês
🟡  nuestro/a — nosso/a
🟢  este / esta / esto — este / esta / isto
🟡  ese / esa / eso — esse / essa / isso
🟡  aquel / aquella / aquello — aquele / aquela / aquilo
🔵  mismo — mesmo / próprio
🟡  otro/a — outro/a
🟢  todo/a — todo/a
🟢  cada — cada
🟡  alguno / algún — algum
🟡  ninguno / ningún — nenhum
🔵  alguien — alguém
🔵  nadie — ninguém
🔵  algo — algo / alguma coisa
🟢  nada — nada
🟡  mucho — muito
🟡  poco — pouco
🟡  bastante — bastante / bem
🔵  demasiado — demais / excessivo
🟡  varios — vários
🟡  ambos — ambos
🔵  cualquiera / cualquier — qualquer
🟡  qué — que / o quê
🔵  quién — quem
🟡  cuál — qual
🟡  cómo — como
🟡  cuándo — quando
🔵  dónde — onde
🟡  cuánto — quanto
🟡  por qué — por quê


────────────────────────────────────────────────────────────────────
2) PREPOSIÇÕES E CONJUNÇÕES  (a cola do idioma)
────────────────────────────────────────────────────────────────────
🟢  de — de
🔵  en — em
🟢  a — a / para
🟡  con — com
🟡  sin — sem
🟢  por — por
🟢  para — para
🟢  sobre — sobre / em cima de
🟢  entre — entre
🔵  hasta — até
🟡  desde — desde / a partir de
🔵  hacia — em direção a / para
🟡  según — segundo / conforme
🟢  contra — contra
🟢  durante — durante
🔵  tras — após / atrás de
🟡  ante — diante de
